region,zone,woreda,ADM3_PCODE
Amhara,East Gojam,Enemay,ET030606
Amhara,East Gojam,Debay Telatgen,ET030607
Amhara,East Gojam,Debre Elias,ET030608
Amhara,East Gojam,Michakel,ET030609
Amhara,East Gojam,Guzamn,ET030610
Amhara,East Gojam,Baso Liben,ET030611
Amhara,East Gojam,Awabel,ET030612
Amhara,East Gojam,Dejen,ET030613
Amhara,East Gojam,Shebel Bernta,ET030614
Amhara,East Gojam,Debre Markos town,ET030615
Amhara,East Gojam,Senan,ET030616
Amhara,East Gojam,Aneded,ET030617
Amhara,East Gojam,Amanuel town,ET030618
Amhara,East Gojam,Sedae,ET030619
Amhara,East Gojam,Gundwoin town,ET030620
Amhara,East Gojam,Debrework town,ET030621
Amhara,East Gojam,Lumame town,ET030622
Amhara,East Gojam,Merto Lemariyam town,ET030623
Amhara,East Gojam,Mota Town,ET030694
Amhara,East Gojam,Dejen town,ET030698
Amhara,East Gojam,Bechena Town,ET030699
Amhara,West Gojam,Semen Achefer,ET030701
Amhara,West Gojam,Bahirdar Zuria,ET030702
Amhara,West Gojam,Yilmana Densa,ET030703
Amhara,West Gojam,Mecha,ET030704
Amhara,West Gojam,Sekela,ET030705
Amhara,West Gojam,Quarit,ET030706
Amhara,West Gojam,Dega Damot,ET030707
Amhara,West Gojam,Dembecha,ET030708
Amhara,West Gojam,Jabi Tehnan,ET030709
Amhara,West Gojam,Bure (AM),ET030710
Amhara,West Gojam,Wemberma,ET030711
Amhara,West Gojam,Bahir Dar town,ET030712
Amhara,West Gojam,Debub Achefer,ET030713
Amhara,West Gojam,Finote Selam town,ET030714
Amhara,West Gojam,Debub Mecha,ET030715
Amhara,West Gojam,Shendi town,ET030716
Amhara,West Gojam,Denbecha town,ET030717
Amhara,West Gojam,Gonje,ET030718
Amhara,West Gojam,Dure Bete,ET030719
Amhara,West Gojam,Jiga town,ET030720
Amhara,West Gojam,Merawi town,ET030797
Amhara,West Gojam,Bure town,ET030798
Amhara,West Gojam,Adete town,ET030799
Amhara,Wag Hamra,Zequala,ET030801
Amhara,Wag Hamra,Sekota,ET030802
Amhara,Wag Hamra,Dehana,ET030803
Amhara,Wag Hamra,Gaz Gibla,ET030804
Amhara,Wag Hamra,Abergele (AM),ET030805
Amhara,Wag Hamra,Sahila,ET030806
Amhara,Wag Hamra,Sekota town,ET030807
Amhara,Wag Hamra,Tsagbeji,ET030808
Amhara,Wag Hamra,Amde Work town,ET030809
Amhara,Awi,Dangila,ET030901
Amhara,Awi,Banja,ET030902
Amhara,Awi,Ankasha,ET030903
Amhara,Awi,Guangua,ET030904
Amhara,Awi,Fagta Lakoma,ET030905
Amhara,Awi,Jawi,ET030906
Amhara,Awi,Guagusa Shikudad,ET030907
Amhara,Awi,Ayehu Guwagusa,ET030908
Amhara,Awi,Agew Gimija Bet,ET030909
Amhara,Awi,Adiss Kidame town,ET030910
Amhara,Awi,Tilili town,ET030911
Amhara,Awi,Fendika town,ET030912
Amhara,Awi,Injibara town,ET030996
Amhara,Awi,Zigem,ET030997
Amhara,Awi,Dangila town,ET030998
Amhara,Awi,Chagni town,ET030999
Amhara,Oromia,Dewa Cheffa,ET031001
Amhara,Oromia,Bati,ET031002
Amhara,Oromia,Jilye Tumuga,ET031003
Amhara,Oromia,Artuma Fursi,ET031004
Amhara,Oromia,Dewa Harewa,ET031005
Amhara,Oromia,Kemisie town,ET031006
Amhara,Oromia,Chef Robit town,ET031007
Amhara,Oromia,Senbete town,ET031008
Amhara,Oromia,Bati Town,ET031099
Amhara,Central Gondar,Amba Giorgis town,ET031103
Amhara,Central Gondar,Shawra town,ET031104
Amhara,Central Gondar,Kolla Debba town,ET031105
Amhara,Central Gondar,Chilga 1,ET031106
Amhara,Central Gondar,Tegede,ET031107
Amhara,Central Gondar,Lay Armacho,ET031108
Amhara,Central Gondar,Wegera,ET031109
Amhara,Central Gondar,Gonder Zuria,ET031110
Amhara,Central Gondar,East Dembia,ET031111
Amhara,Central Gondar,Chilga 2,ET031112
Amhara,Central Gondar,Alefa,ET031115
Amhara,Central Gondar,West Belesa,ET031116
Amhara,Central Gondar,East Belesa,ET031117
Amhara,Central Gondar,Gondar town,ET031118
Amhara,Central Gondar,Masero Denb /Central Armacho,ET031119
Amhara,Central Gondar,Tach Armacho,ET031120
Amhara,Central Gondar,Takusa,ET031121
Amhara,Central Gondar,Kinfaz Begela,ET031122
Amhara,Central Gondar,West Dembiya,ET031125
Amhara,Central Gondar,Aykel town,ET031199
Amhara,West Gondar,Adagn Ager Chaqo,ET031205
